program_name,category,start_year,ministry,strategic_area,undergraduate_relevance
新一代人工智能国家科技重大专项,国家科技重大专项,2026,MOST+多部委,人工智能,"计算机/AI/电子信息"
脑科学与类脑研究,国家科技重大专项,2021,NSFC+MOST,脑科学/神经科学,"生命科学/脑机科学与技术"
深地国家科技重大专项,国家科技重大专项,2025,自然资源部,地球深部探测,"地质工程/资源勘探/深地科学"
磁约束核聚变能发展研究专项,重点研发计划,2025,MOST,清洁能源/聚变,"新能源/物理/电气工程"
京津冀环境综合治理专项,国家科技重大专项,2022,多部委,环境治理,"环境科学与工程"
高端科研仪器研制,重点研发计划,2026,工信部,精密制造/仪器,"机械工程/精密仪器"
高精度量子操控与探测,NSFC重大研究计划,2023,NSFC,量子技术,"物理/电子信息"
原子级制造基础研究,NSFC重大研究计划,2024,NSFC,先进制造/芯片,"材料/微电子/机械"
RNA药物基础研究,NSFC重大研究计划,2024,NSFC,生物医药,"生命科学/药学/生物工程"
面向人机物融合的AI软件基础研究,NSFC重大研究计划,2024,NSFC,AI软件,"计算机/软件工程"
集成芯片前沿技术科学基础,NSFC重大研究计划,2022,NSFC,半导体/芯片,"微电子/电子信息/材料"
超越传统的电池体系,NSFC重大研究计划,2022,NSFC,储能/电池,"材料/化学/新能源"
免疫力数字解码计划,NSFC重大研究计划,2022,NSFC,免疫学,"生命科学/医学"
可解释通用人工智能方法,NSFC重大研究计划,2021,NSFC,人工智能基础,"计算机/AI"
发育编程及代谢调节,重点研发计划,2026,NSFC,发育生物学,"生命科学/医学"
合成生物学,重点研发计划,2026,NSFC,合成生物学,"生物工程/生命科学"
