rank,major_cn,major_code,discipline,career_track,shandong_schools,signal_strength,bachelor_employable,grad_school_bonus,notes
1,计算机科学与技术,080901,信息,"Software engineering, AI, systems","山东大学, 中国石油大学(华东), 山东科技大学, 青岛大学",★★★★★,True,True,"Most versatile degree. Backend dev, AI, data eng all accessible at bachelor level. Strongest funding tailwind from NSFC + MOST."
2,人工智能,080717T,信息,"AI/ML engineering, research","山东大学, 中国海洋大学, 山东科技大学",★★★★★,True,True,"New major (2018+). Strong at top schools, variable quality elsewhere. Choose CS if unsure — AI is a sub-field of CS."
3,数据科学与大数据技术,080910T,信息,"Data analytics, ML, business intelligence","山东大学, 山东财经大学, 山东师范大学",★★★★☆,True,True,Good alternative if CS score is tight. Many programs vary in quality.
4,电子信息工程,080701,信息,"Hardware-software interface, telecom, chips","山东大学, 中国石油大学(华东), 青岛科技大学",★★★★☆,True,True,Semiconductor wave (芯片) makes EE very strategic. Bridges 信息 and 工程材料 fields.
5,新能源科学与工程,080503T,工程材料,"Battery, solar, hydrogen energy","山东大学, 中国石油大学(华东), 山东科技大学",★★★★★,True,True,"碳中和 + 双碳目标 direct policy driver. Massive industry investment in Shandong (宁德时代 supplier chain, wind/solar). Very strong 10-yr outlook."
6,材料科学与工程,080401,工程材料,"Advanced materials, semiconductors, batteries","山东大学, 山东科技大学, 青岛大学",★★★★☆,True,True,"Broad foundation. Sub-specializations in semiconductor, energy, biomaterials all have strong funding."
7,机器人工程,080803T,工程材料,"Robotics, automation, smart manufacturing","山东大学, 山东科技大学, 哈尔滨工业大学(威海)",★★★★☆,True,True,Manufacturing automation is a national priority (智能制造). New major with growing programs.
8,临床医学,100201K,医学,Doctor (5+3 = 8 year track),"山东大学, 青岛大学医学院, 山东中医药大学",★★★★☆,False,True,Highly stable career. NSFC medical funding is largest. Requires 5+3 (本博连读) or 5yr undergrad + 3yr clinical residency. Score requirement is HIGH. Choose if he genuinely wants to be a doctor.
9,生物医学工程,080601,生命,"Medical devices, bioinformatics, drug tech","山东大学, 山东科技大学",★★★★☆,True,True,Bridges life sciences + engineering. Medical devices market growing. Better employment than pure biology at bachelor level.
10,生物工程,083001,生命,"Biotech, pharma, synthetic biology","山东大学, 中国石油大学(华东), 青岛科技大学",★★★☆☆,True,True,Synthetic biology is NSFC + MOST strategic priority. Industry track needs pharma/biotech proximity. Consider grad school to unlock better positions.
11,统计学,071201,数理,"Finance, data science, actuarial, quant research","山东大学, 山东财经大学, 山东师范大学",★★★★☆,True,True,Highly versatile. Applied math backbone for AI/finance/bio. Strong quantitative foundation opens many doors. Can pivot to almost any field for grad school.
12,海洋科学,070701,地球,"Marine research, oceanic engineering","中国海洋大学 (世界一流/A+学科), 山东大学",★★★★☆,True,True,Shandong-specific advantage: 中国海洋大学 (Qingdao) is world-leading. Marine economy is a Shandong provincial strategic priority. Good option if score reaches 中海大 threshold (~山东600+).
13,环境科学与工程,082501,地球,"Environmental consulting, carbon auditing, govt","山东大学, 青岛大学, 山东科技大学",★★★☆☆,True,False,Carbon neutrality creates government and consulting demand. But lower salary ceiling than engineering disciplines.
